Student,Sex (F/M),Profile,Age,Extroversion,Neuroticism,Psychoticism
1,M,Artist/Designer,24,57,29,35
2,M,Designer,28,52,44,26
3,M,Programmer,21,67,34,30
4,M,Programmer,23,59,65,46
5,M,Programmer,24,52,50,30
6,F,Artist,21,52,77,21
7,M,Programmer,20,42,45,40
8,F,Artist,21,20,72,58
9,M,Designer,22,35,60,23
10,,,,,,
11,M,Programmer,21,40,88,56
12,F,Designer,23,72,70,23
13,M,Programmer,21,60,49,26
14,M,Designer,21,67,50,55
15,F,Programmer,22,55,42,48
16,M,Programmer,20,71,45,38
17,,,,,,
18,F,Artist,21,60,49,35
19,M,Artist,23,65,41,36
20,M,Designer,27,77,41,46
21,,Designer,21,61,54,40
22,M,Artist,21,64,39,38
23,M,Robotic/Programmer,23,64,51,30
24,M,Artist,24,57,60,53
25,F,Programmer,29,55,60,25
26,M,Programmer,20,54,60,45
27,M,,,,,
28,M,Artist,22,59,47,43
29,,,,,,
30,F,Artist,22,60,57,25
31,M,none,21,60,45,50
32,,,,,,
33,M,Designer,21,35,19,30
34,F,Designer,20,65,39,23
35,M,Artist,22,64,39,25
36,M,Artist,21,40,42,45
37,M,Designer,24,65,47,25
38,M,Programmer,21,43,29,35
39,M,Designer,22,76,39,25
40,M,Programmer,24,64,60,35
41,M,Designer,23,49,55,30
42,M,Artist,21,47,32,36
43,F,Artist,21,57,55,36
44,F,Artist,21,49,65,28
45,M,Artist,22,60,30,46
46,M,Programmer,21,82,93,75
47,F,Artist,21,81,34,28
48,F,Artist,22,74,22,28
49,F,Designer,25,43,72,60
50,,,,,,
51,,,,,,
52,,,,,,
